path,modality,study,status,transfer_syntax,width,height,components,bits_allocated,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003816.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528934,155005,0.1515,0.0541,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004565.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,334239,0.2034,0.0702,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_003559.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,322541,0.1682,0.0778,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001959.dcm,mr,study_005,OK,1.2.840.10008.1.2,512,512,1,0,1,619466,67565,0.1889,0.0246,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001377.dcm,mr,study_005,OK,1.2.840.10008.1.2,208,256,1,0,1,214818,33456,0.0902,0.0197,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000777.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,512,1,0,1,618116,57123,0.2074,0.0166,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000020.dcm,mr,study_003,OK,1.2.840.10008.1.2,128,128,1,0,1,139002,20949,0.1189,0.0196,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000862.dcm,mr,study_003,OK,1.2.840.10008.1.2,176,256,1,0,1,190760,25947,0.0857,0.0158,
LocalDatasets/medical-dicom-organized/xa/study_005/instance_000049.dcm,xa,study_005,OK,1.2.840.10008.1.2,1024,1024,1,0,1,2132170,722161,0.2951,0.0958,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000210.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528880,150685,0.1462,0.031,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004607.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,333024,0.1233,0.0332,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002268.dcm,mr,study_002,OK,1.2.840.10008.1.2,320,260,1,0,1,278228,53801,0.1085,0.018,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002283.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528866,149961,0.1941,0.062,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_005181.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528962,259045,0.1917,0.0583,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_000467.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528856,275772,0.1888,0.0731,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001296.dcm,mr,study_005,OK,1.2.840.10008.1.2,192,192,1,0,1,167446,16431,0.1255,0.0387,
LocalDatasets/medical-dicom-organized/ct/study_004/instance_000445.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528844,253826,0.2079,0.0702,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_003735.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,331299,0.1506,0.0652,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000025.dcm,mr,study_003,OK,1.2.840.10008.1.2,128,128,1,0,1,139000,20376,0.0624,0.013,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_006034.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528962,132235,0.184,0.0325,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001126.dcm,mr,study_005,OK,1.2.840.10008.1.2,192,192,1,0,1,167448,18454,0.1168,0.012,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_003153.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528884,153691,0.1849,0.0359,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001235.dcm,mr,study_005,OK,1.2.840.10008.1.2,192,192,1,0,1,167448,18624,0.145,0.019,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001967.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,156726,0.1952,0.0385,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_003458.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528866,145245,0.1789,0.036,
